
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    [::]:445               [::]:0                 LISTENING
  TCP    [::]:3000              [::]:0                 LISTENING
  TCP    [::]:3306              [::]:0                 LISTENING
  TCP    [::]:9101              [::]:0                 LISTENING
  TCP    [::]:33060             [::]:0                 LISTENING
  TCP    [::]:49664             [::]:0                 LISTENING
  TCP    [::]:49665             [::]:0                 LISTENING
  TCP    [::]:49666             [::]:0                 LISTENING
  TCP    [::]:49667             [::]:0                 LISTENING
  TCP    [::]:49668             [::]:0                 LISTENING
  TCP    [::]:49673             [::]:0                 LISTENING
  TCP    [::]:59286             [::]:0                 LISTENING
  TCP    [::1]:3000             [::1]:53835            ESTABLISHED
  TCP    [::1]:3000             [::1]:63429            ESTABLISHED
  TCP    [::1]:42050            [::]:0                 LISTENING
  TCP    [::1]:53835            [::1]:3000             ESTABLISHED
  TCP    [::1]:62396            [::1]:9229             SYN_SENT
  TCP    [::1]:63429            [::1]:3000             ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:49553  [2404:6800:4002:804::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:49899  [2404:6800:4002:810::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:50673  [2404:6800:4009:80b::200e]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:50744  [2404:6800:4002:808::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:51136  [2404:6800:4002:803::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:51476  [2404:6800:4002:811::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:51719  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52126  [2404:6800:4002:809::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52371  [2606:4700::6811:190e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52489  [2404:6800:4002:807::2004]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52664  [2603:1040:a06:6::1]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52680  [2404:6800:4002:802::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52734  [2404:6800:4002:829::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52916  [2404:6800:4009:819::2016]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:52991  [2404:6800:4002:831::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53076  [2404:6800:4002:830::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53105  [2606:4700:10::ac42:a344]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53292  [2404:6800:4002:81b::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53457  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53531  [2606:4700::6812:123e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:53717  [2404:6800:4002:82a::2001]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:54013  [2404:6800:4002:809::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:54088  [2a00:1450:4025:1c09::5e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:54319  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:54698  [2404:6800:4002:80a::2008]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:54781  [2a00:1450:4025:1c09::5e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:56112  [2404:6800:4003:c03::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:56156  [2606:4700::6810:aee2]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:56215  [2404:6800:4009:804::2001]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:56550  [2404:6800:4002:805::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:56925  [2404:6800:4002:80e::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:56965  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:57201  [2404:6800:4002:807::2002]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:57723  [2001:4860:4802:38::223]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:58638  [2404:6800:4002:804::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:58844  [2404:6800:4002:802::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:59227  [2404:6800:4002:821::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:59657  [2404:6800:4013:802::5e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:59753  [2a00:1450:4025:1c09::5e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:59763  [2404:6800:4002:809::200a]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:59764  [2404:6800:4002:824::2001]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:59765  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:60018  [2600:1900:4110:86f::]:80  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:60094  [2404:6800:4002:805::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:60252  [2404:6800:4002:830::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:60329  [2404:6800:4002:805::2003]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:60468  [2404:6800:4002:80f::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:61104  [2404:6800:4002:811::200e]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:61382  [2404:6800:4003:c04::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:61442  [2404:6800:4002:81b::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:61807  [2404:6800:4002:805::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:61902  [2404:6800:4003:c00::bc]:5228  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:61972  [2404:6800:4002:803::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:62283  [2404:6800:4002:824::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:62512  [2a00:1450:4025:1c09::5e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:63216  [2404:6800:4003:c05::9b]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:63618  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:63943  [2404:6800:4002:81c::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:64300  [2404:6800:4003:c05::bc]:5228  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:64516  [2404:6800:4003:c02::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:64780  [2606:4700:9761:d8b7:9a39:0:ccf5:ac50]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:64786  [2404:6800:4003:c03::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:64918  [2404:6800:4003:c04::451]:443  ESTABLISHED
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:65121  [2404:6800:4002:804::200e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:65173  [2404:6800:4002:80a::2008]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:65240  [2404:6800:4002:806::200a]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:65366  [2a00:1450:4025:1c09::5e]:443  TIME_WAIT
  TCP    [2606:4700:110:8700:f17b:69e4:a9f:1f21]:65390  [2404:6800:4003:c1a::5e]:443  TIME_WAIT
  UDP    0.0.0.0:123            *:*                    
  UDP    0.0.0.0:500            *:*                    
  UDP    0.0.0.0:4500           *:*                    
  UDP    0.0.0.0:5050           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5353           *:*                    
  UDP    0.0.0.0:5355           *:*                    
  UDP    0.0.0.0:52778          *:*                    
  UDP    0.0.0.0:54628          0.0.32.10:443          
  UDP    0.0.0.0:55666          0.0.32.3:443           
  UDP    0.0.0.0:60463          0.0.0.94:443           
  UDP    0.0.0.0:60532          0.0.32.3:443           
  UDP    0.0.0.0:61439          0.0.32.10:443          
  UDP    0.0.0.0:61960          0.0.32.3:443           
  UDP    127.0.0.1:1900         *:*                    
  UDP    127.0.0.1:50605        *:*                    
  UDP    127.0.0.1:65490        127.0.0.1:65490        
  UDP    127.0.2.2:53           *:*                    
  UDP    127.0.2.3:53           *:*                    
  UDP    169.254.73.61:137      *:*                    
  UDP    169.254.73.61:138      *:*                    
  UDP    169.254.73.61:1900     *:*                    
  UDP    169.254.73.61:2177     *:*                    
  UDP    169.254.73.61:50603    *:*                    
  UDP    172.16.0.2:137         *:*                    
  UDP    172.16.0.2:138         *:*                    
  UDP    172.16.0.2:1900        *:*                    
  UDP    172.16.0.2:50602       *:*                    
  UDP    172.16.211.87:54156    162.159.198.2:443      
  UDP    172.16.211.87:56942    162.159.198.2:443      
  UDP    172.16.214.180:137     *:*                    
  UDP    172.16.214.180:138     *:*                    
  UDP    172.16.214.180:1900    *:*                    
  UDP    172.16.214.180:2177    *:*                    
  UDP    172.16.214.180:50604   *:*                    
  UDP    172.16.214.180:65284   162.159.198.2:443      
  UDP    [::]:123               *:*                    
  UDP    [::]:500               *:*                    
  UDP    [::]:4500              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5353              *:*                    
  UDP    [::]:5355              *:*                    
  UDP    [::]:52778             *:*                    
  UDP    [::]:54628             [2404:6800:4002:804::200a]:443  
  UDP    [::]:55666             [2404:6800:4002:80f::2003]:443  
  UDP    [::]:60463             [2a00:1450:4025:1c09::5e]:443  
  UDP    [::]:60532             [2404:6800:4002:809::2003]:443  
  UDP    [::]:61439             [2404:6800:4002:828::200a]:443  
  UDP    [::]:61960             [2404:6800:4002:829::2003]:443  
  UDP    [::1]:1900             *:*                    
  UDP    [::1]:50601            *:*                    
  UDP    [fe80::4e14:a4:26f9:a7f5%65]:1900  *:*                    
  UDP    [fe80::4e14:a4:26f9:a7f5%65]:50598  *:*                    
  UDP    [fe80::994c:597f:57d7:3921%21]:1900  *:*                    
  UDP    [fe80::994c:597f:57d7:3921%21]:2177  *:*                    
  UDP    [fe80::994c:597f:57d7:3921%21]:50599  *:*                    
  UDP    [fe80::c4c0:3852:802:2d53%22]:1900  *:*                    
  UDP    [fe80::c4c0:3852:802:2d53%22]:2177  *:*                    
  UDP    [fe80::c4c0:3852:802:2d53%22]:50600  *:*                    
